ParkName,Long,Lat,review_count_by_park,geometry,size_category,sentiment_x,weighted_average_sentiment,Discovery_percentage,Engagement_percentage,Frustration & Annoyance_percentage,Inspiration_percentage,Relaxation_percentage,Sorrow_percentage,Discovery_percentage_weighted,Engagement_percentage_weighted,Frustration & Annoyance_percentage_weighted,Inspiration_percentage_weighted,Relaxation_percentage_weighted,Sorrow_percentage_weighted,Dominant_Emotion_weighted,sentiment_y
Matthias Baldwin Park,-75.168948,39.961667,81,POINT (-75.168948 39.961667),50,0.7966392113838667,0.7449548032170552,7.41,0.0,1.23,19.75,71.6,0.0,7.99,0.0,1.57,28.03,62.41,0.0,Relaxation,0.7966392113838667
Clarence H Clark Park,-75.210414,39.948897,1216,POINT (-75.210414 39.948897),250,0.8341371068534883,0.8190442963497226,16.04,0.41,0.9,18.83,63.82,0.0,16.66,0.53,0.8,17.11,64.9,0.0,Relaxation,0.8341371068534883
Cliveden Park,-75.177939,40.051182,89,POINT (-75.177939 40.051182),50,0.7573196948244331,0.8781397713505626,7.87,0.0,0.0,21.35,70.79,0.0,5.1,0.0,0.0,14.47,80.43,0.0,Relaxation,0.7573196948244331
Lardners Point Park,-75.045998,40.014748,183,POINT (-75.045998 40.014748),100,0.6292106613435381,0.6083130808945821,9.29,0.55,0.0,24.04,66.12,0.0,10.08,0.28,0.0,19.21,70.43,0.0,Relaxation,0.6292106613435381
Rail Park,-75.15963,39.96016,271,POINT (-75.15963 39.96016),150,0.6610747463588785,0.5945777345690562,10.33,2.95,1.11,16.97,68.63,0.0,12.78,5.45,0.43,18.35,62.99,0.0,Relaxation,0.6610747463588785
Grays Ferry Crescent,-75.203235,39.942573,127,POINT (-75.203235 39.942573),100,0.710151164081153,0.7046542845425202,8.66,0.0,0.0,22.05,69.29,0.0,8.06,0.0,0.0,18.18,73.76,0.0,Relaxation,0.710151164081153
Russell DeRitis Playground,-75.170042,39.929141,117,POINT (-75.170042 39.929141),100,0.7001005910400652,0.5745158681975218,16.24,0.0,0.0,21.37,62.39,0.0,8.38,0.0,0.0,20.79,70.83,0.0,Relaxation,0.7001005910400652
Verree and Susquehanna Playground,-75.067347,40.080582,576,POINT (-75.067347 40.080582),200,0.6933398890412517,0.6510207305632085,13.19,0.35,1.04,16.32,69.1,0.0,9.01,0.16,0.84,17.14,72.85,0.0,Relaxation,0.6933398890412517
Korean War Veterans Memorial,-75.14344,39.94499,99,POINT (-75.14344 39.94499),50,0.8487849277679367,0.7994075866518741,10.1,4.04,1.01,28.28,56.57,0.0,9.39,4.82,0.43,14.73,70.64,0.0,Relaxation,0.8487849277679367
Frankford and Solly Playground,-75.079913,40.024715,71,POINT (-75.079913 40.024715),50,-0.009311798592688322,0.2724653430279215,4.23,0.0,8.45,63.38,23.94,0.0,1.48,0.0,12.69,43.67,42.16,0.0,Inspiration,-0.009311798592688322
Blue Bell Park,-75.194634,40.031301,157,POINT (-75.194634 40.031301),100,0.7336247794947047,0.46026387342675823,8.92,0.0,1.27,22.29,67.52,0.0,6.71,0.0,1.99,31.21,60.09,0.0,Relaxation,0.7336247794947047
Pennypack on the Delaware,-75.019521,40.027687,116,POINT (-75.019521 40.027687),100,0.7136831026652763,0.5034616802735222,12.93,2.59,0.0,19.83,64.66,0.0,16.15,5.47,0.0,22.69,55.69,0.0,Relaxation,0.7136831026652763
Glendinning Rock Garden,-75.1912,39.97645,174,POINT (-75.1912 39.97645),100,0.7500335622107845,0.7544102858343789,10.34,1.15,1.15,22.99,64.37,0.0,8.36,0.78,3.02,25.43,62.41,0.0,Relaxation,0.7500335622107845
Fernhill Park,-75.1684,40.01951,241,POINT (-75.1684 40.01951),100,0.6910462211276486,0.7421373469064758,9.96,1.24,0.83,22.82,64.73,0.41,11.44,2.09,0.59,16.27,69.21,0.4,Relaxation,0.6910462211276486
Emanuel Weinberg Park,-75.156526,39.921253,24,POINT (-75.156526 39.921253),50,0.4164216195543607,0.25793125821179913,4.17,0.0,0.0,58.33,37.5,0.0,0.43,0.0,0.0,54.81,44.76,0.0,Inspiration,0.4164216195543607
Belmont and Edgley Fields,-75.213776,39.995501,31,POINT (-75.213776 39.995501),50,0.4183728867961514,0.24559025848206312,6.45,6.45,3.23,35.48,48.39,0.0,2.19,3.42,13.25,33.29,47.86,0.0,Relaxation,0.4183728867961514
Campbell Square,-75.10327,39.98636,206,POINT (-75.10327 39.98636),100,0.6809624624483793,0.7398796574984018,9.71,0.0,0.97,23.79,65.53,0.0,16.88,0.0,0.15,17.37,65.6,0.0,Relaxation,0.6809624624483793
Julian Abele Park,-75.179268,39.940884,47,POINT (-75.179268 39.940884),50,0.6451367710499053,0.6891050751395048,6.38,0.0,0.0,23.4,70.21,0.0,6.57,0.0,0.0,33.76,59.67,0.0,Relaxation,0.6451367710499053
Cloverly Park,-75.18099,40.0257,51,POINT (-75.18099 40.0257),50,0.7130272283273584,0.6555800702296252,11.76,0.0,0.0,31.37,56.86,0.0,22.71,0.0,0.0,23.22,54.07,0.0,Relaxation,0.7130272283273584
Salvatore Pachella Memorial Field,-75.215937,40.045791,40,POINT (-75.215937 40.045791),50,0.6805089965462685,0.6310752481182954,2.5,2.5,5.0,20.0,70.0,0.0,9.83,0.58,9.65,9.62,70.32,0.0,Relaxation,0.6805089965462685
Wissahickon Valley Park,-75.217331,40.056211,2920,POINT (-75.217331 40.056211),250,0.8189785385785038,0.7672460614320807,12.95,0.38,0.55,15.07,70.99,0.07,11.45,0.22,1.15,16.66,70.51,0.02,Relaxation,0.8189785385785038
Franklin Delano Roosevelt Park,-75.18381,39.90214,2009,POINT (-75.18381 39.90214),250,0.6805550615961958,0.6603658776557577,9.56,0.9,1.0,23.74,64.81,0.0,11.16,0.48,1.04,22.84,64.47,0.0,Relaxation,0.6805550615961958
Rittenhouse Square,-75.171892,39.949462,2794,POINT (-75.171892 39.949462),250,0.8170676392449083,0.80172488953432,12.31,0.75,0.5,17.68,68.75,0.0,12.79,0.85,0.58,17.01,68.76,0.0,Relaxation,0.8170676392449083
