"term","estimate","std.error","statistic","p.value"
"(Intercept)",-0.815954332467378,0.516636226274612,-1.57935950088344,0.118012149296837
"tree_count",0.000101556392283666,2.81276969738669e-05,3.61054772376212,0.000518680627989157
"crime23_count",-0.000159286835130868,2.97807596782075e-05,-5.34864915643603,7.51802478668804e-07
"kidPct",1.63862936261933,0.575478709158987,2.84741961177686,0.0055391910648834
"pctWhitePop",-0.21678548539137,0.102008254605153,-2.12517591081711,0.0365094575785991
"popDensity",15.2747183817853,5.43590727277208,2.80996669282695,0.00616274246721001
