ParkName,Long,Lat,review_count_by_park,geometry,size_category,sentiment,weighted_average_sentiment,Discovery_percentage,Engagement_percentage,Frustration & Annoyance_percentage,Inspiration_percentage,Relaxation_percentage,Sorrow_percentage,Discovery_percentage_weighted,Engagement_percentage_weighted,Frustration & Annoyance_percentage_weighted,Inspiration_percentage_weighted,Relaxation_percentage_weighted,Sorrow_percentage_weighted,Dominant_Emotion_weighted
Grays Ferry Crescent,-75.203235,39.942573,127,POINT (-75.203235 39.942573),100,0.710151164081153,0.7044694524415803,0.79,18.9,1.57,57.48,21.26,0.0,0.59,30.86,0.49,50.13,17.93,0.0,Inspiration
Belmont Grove,-75.215304,39.992323,64,POINT (-75.215304 39.992323),50,0.6909467652440071,0.660948910457312,3.12,12.5,6.25,65.62,12.5,0.0,0.45,18.85,1.59,62.82,16.29,0.0,Inspiration
Penn Treaty Park,-75.128479,39.966274,1318,POINT (-75.128479 39.966274),250,0.7265343333683535,0.6856248045002428,0.68,21.32,3.49,57.81,16.01,0.68,0.18,27.23,2.87,50.65,18.69,0.38,Inspiration
Glendinning Rock Garden,-75.1912,39.97645,174,POINT (-75.1912 39.97645),100,0.7500335622107845,0.7544423188245751,1.15,14.94,4.6,60.92,18.39,0.0,0.78,15.85,4.78,55.09,23.49,0.0,Inspiration
Logan Square,-75.17096,39.95803,710,POINT (-75.17096 39.95803),200,0.7818119731587423,0.7395530022960062,0.7,15.35,1.83,56.2,25.77,0.14,0.48,17.96,1.49,54.45,24.95,0.67,Inspiration
Inn Yard Park,-75.195332,40.009098,28,POINT (-75.195332 40.009098),50,0.7123260051012039,0.6680401771167976,0.0,21.43,0.0,42.86,35.71,0.0,0.0,6.41,0.0,62.66,30.94,0.0,Inspiration
Pretzel Park,-75.221105,40.025584,226,POINT (-75.221105 40.025584),100,0.7591523414691993,0.7784825461455764,0.44,15.04,3.54,64.6,16.37,0.0,0.08,10.58,6.28,65.35,17.71,0.0,Inspiration
William Lanier Park,-75.19388,39.93362,80,POINT (-75.19388 39.93362),50,0.6069035612046718,0.5720415333012586,1.25,25.0,3.75,47.5,22.5,0.0,0.61,26.28,3.12,48.56,21.42,0.0,Inspiration
McMichael Park,-75.187004,40.018481,210,POINT (-75.187004 40.018481),100,0.7704345722993214,0.7223957816819387,0.95,26.19,2.38,53.81,16.19,0.48,0.5,24.6,2.25,52.9,19.39,0.36,Inspiration
Emanuel Weinberg Park,-75.156526,39.921253,24,POINT (-75.156526 39.921253),50,0.4164216195543607,0.2579278470676993,0.0,4.17,25.0,37.5,33.33,0.0,0.0,33.67,29.04,11.52,25.77,0.0,Engagement
Russell DeRitis Playground,-75.170042,39.929141,117,POINT (-75.170042 39.929141),100,0.7001005910400652,0.5746022449137627,0.0,17.95,5.13,60.68,15.38,0.85,0.0,20.53,8.78,60.85,9.72,0.12,Inspiration
Marian Winfield Hissey Recreation Center,-75.12334,39.99433,50,POINT (-75.12334 39.99433),50,0.29416425585746764,0.13281344273971288,2.0,24.0,12.0,38.0,24.0,0.0,0.29,28.06,13.87,39.07,18.72,0.0,Inspiration
Disston Park,-75.04233,40.022058,37,POINT (-75.04233 40.022058),50,0.2121465947176959,0.34771546707332207,2.7,13.51,5.41,51.35,27.03,0.0,0.61,12.51,1.02,57.46,28.39,0.0,Inspiration
Paines Park,-75.180621,39.962874,214,POINT (-75.180621 39.962874),100,0.57460603257206,0.3032761608371623,0.93,26.17,8.41,50.47,13.08,0.93,0.62,30.34,14.64,36.54,17.45,0.4,Inspiration
Verree and Susquehanna Playground,-75.067347,40.080582,576,POINT (-75.067347 40.080582),200,0.6933398890412517,0.6509866447912112,1.04,18.75,4.51,63.19,12.5,0.0,0.38,20.91,5.06,61.41,12.24,0.0,Inspiration
Burholme Park,-75.089962,40.067148,459,POINT (-75.089962 40.067148),150,0.7213329254671899,0.6722671506954669,0.87,18.52,4.36,58.82,16.99,0.44,0.63,22.36,6.66,54.74,15.58,0.03,Inspiration
Schuylkill Banks,-75.180653,39.952195,597,POINT (-75.180653 39.952195),200,0.846464715211635,0.8740385359598513,0.84,16.92,2.18,68.51,11.39,0.17,0.39,20.73,1.39,68.89,8.51,0.08,Inspiration
Frankford and Solly Playground,-75.079913,40.024715,71,POINT (-75.079913 40.024715),50,-0.009311798592688322,0.2724982245085677,0.0,9.86,35.21,18.31,36.62,0.0,0.0,13.67,23.37,29.98,32.98,0.0,Relaxation
Vernon Park,-75.17672,40.03561,174,POINT (-75.17672 40.03561),100,0.7284223101604944,0.6099757230215959,1.15,24.71,5.17,51.15,17.82,0.0,0.35,18.39,10.84,48.81,21.61,0.0,Inspiration
Mifflin Square,-75.156519,39.919477,165,POINT (-75.156519 39.919477),100,0.2645194324580106,0.37664063367362965,1.21,20.0,15.15,32.12,30.91,0.61,0.69,20.38,8.12,32.78,37.94,0.09,Relaxation
Frankford and Pennypack Park,-75.035803,40.049551,72,POINT (-75.035803 40.049551),50,0.6255315641562144,0.6146281861895297,0.0,22.22,6.94,50.0,19.44,1.39,0.0,22.38,5.04,50.2,19.91,2.48,Inspiration
Pennypack Park,-75.035803,40.049551,72,POINT (-75.035803 40.049551),50,0.6255315641562144,0.6146281861895297,0.0,22.22,6.94,50.0,19.44,1.39,0.0,22.38,5.04,50.2,19.91,2.48,Inspiration
